reviewer_id,review_role,review_content,seller_code,seller_name
중고나라#7952764,구매자,포장 잘 해주시고 택배도 빠르게 보내주시네요,1074817,트루스타이트
진주머도리,구매자,답변도 빨리해주시고 제품상태도 아주좋습니다 이뷴 믿고 거래하셔도 됩니다,1074817,트루스타이트
중고나라#7443920,판매자,감사합니다!,1074817,트루스타이트
데헷스,구매자,정말친절하시고 이분믿고사셔도됩니다 잘쓰겠습니다 감사합니다,1074817,트루스타이트
정교한별똥별미숫가루,판매자,만족스러운 거래였습니다,1075353,구매구매할래
진쓰틴,구매자,상품상태 굿 칼배송 굿,1075886,김애픙1112
ghjin,구매자,너무 친절하시고 착하셨다,1076414,패션은동서남북대문
중고나라#6960264,구매자,판매자분 친절하시고 좋은 물건을 잘 샀습니다. 감사합니다,1079669,fa2tee
Angelus1,구매자,진장한 풀박스 보내주셔서 감사합니다!,1079894,만장일치TM
중고나라#9443681,구매자,감사합니다 즐거운 하루되세요,1079894,만장일치TM
아치테리,구매자,배송 깔끔하게 뽁뽁이 넣어서 해주셨고 물건 상태가 너무 좋았어요 최고여요,1079901,똥먹은공주
재혓,구매자,포장도 깔금하고 쿨거래 정말 감사합니다,1080825,cailmp
중고나라#9191815,판매자,거래 감사드립니다~^^,1083131,hi3106
별헤는단비,판매자,제가 있는 곳까지 와주시고 말씀도 잘 해주셔서 감사했습니다~,1083175,파리리마마
다비니아빠,구매자,8옴으로 바꾸니 소리가 커지네요.,1083996,작은세
중고나라#8238477,구매자,렌즈에 먼지가 끼고 시야에 뿌였게 먼지가 보이는 단점이 있어 램프와 렌즈 청소가 필요할거 같습니다. 전원선 고장으로 집에 있는것으로 대체 했습니다. 감사드립니다.,1083996,작은세
다비니아빠,구매자,선연결방법을 몰라 소리가 안나와 당황했는데 인터넷찾아보고 연결하니 소리가 나오네요.무거운데 빠른 배송 감사합니다.,1083996,작은세
하느님의자녀,구매자,내꺼중에 최고,1083996,작은세
중고나라#10784428,구매자,빠르게 잘 받았고 만족합니다,1083996,작은세
윤군들,구매자,감사합니다..잘쓰겠습니다. 안전거래 감사드립니다..번창하세요,1083996,작은세
중고나라#7314328,구매자,좋은 파워주셔서 감사드립니다. 택배비도 반 부담해주셔서 감사하구요. 잘 쓸게요.^^*,1083996,작은세
콜리와진돌이,구매자,제품은 잘밪었습니다 다만 에어캡포이 안돼서,1084127,큰세
중고나라#8400717,구매자,잘쓸께요.,1084127,큰세
티끌2,구매자,포장하고 택배보내시느라 애쓰셨습니다,1084127,큰세
골프채수집가,구매자,대박나세요!ㅡ^^&,1084127,큰세
중고나라#7131470,구매자,상태도 좋고 깨끗하게 쓰셔서 따로 청소 하지않고 좋아요 모든 부품이 청결해요 감사 합니다,1084127,큰세
중고나라#7178906,구매자,잘 받았어요 감사해요,1084391,lublub415
위뚜니,구매자,감사합니다~!,1084391,lublub415
헌찬맘,구매자,바로 잘 보내주셔서 감사해요^^,1084391,lublub415
선한마음2,구매자,택배로 잘받았습니다~~ 꼼꼼하게 포장도 해서 보내주셨어요^^,1084391,lublub415
imyunzoo,구매자,사용해보려구 퍼프를 눌렀는데 세럼이 안나오네요,1084391,lublub415
풑풑,판매자,감사합니다^^,1085227,원더보이0
커피탱큐,구매자,새상품이고 저렴하게 잘받았습니다 감사합니다,1085227,원더보이0
안전결제요,구매자,좋은 물건 감사합니다!,1085514,러블냥
중고나라#10704468,구매자,물건에 대한 전체적인 설명과 구동영상도 확인시켜주시고 포장도 굉장히 꼼꼼하게 해주시네요. 어느거 하나 허투루 하지 않고 신경 많이 써주시는 분이라서 너무 오랜만에 이렇게 기분 좋은 거래 해보네요. 카페에서 이분보다 신경써주시는분 없을듯 합니다.,1087146,늘프른팜
